packet_size,protocol,duration,network,label
1414,TCP,1755622026.639653,good,reel
54,TCP,1755622026.692978,good,reel
1414,TCP,1755622026.693018,good,reel
54,TCP,1755622026.725651,good,reel
1414,TCP,1755622026.725704,good,reel
1414,TCP,1755622026.725704,good,reel
54,TCP,1755622026.773449,good,reel
1414,TCP,1755622026.773494,good,reel
1414,TCP,1755622026.773494,good,reel
1414,TCP,1755622026.773494,good,reel
54,TCP,1755622026.827636,good,reel
1414,TCP,1755622026.827682,good,reel
1414,TCP,1755622026.827682,good,reel
54,TCP,1755622026.878219,good,reel
1414,TCP,1755622026.878359,good,reel
1414,TCP,1755622026.878359,good,reel
1414,TCP,1755622026.878359,good,reel
54,TCP,1755622026.921375,good,reel
1414,TCP,1755622026.921455,good,reel
1414,TCP,1755622026.921455,good,reel
54,TCP,1755622026.964752,good,reel
1414,TCP,1755622026.964968,good,reel
1414,TCP,1755622026.964968,good,reel
54,TCP,1755622026.982785,good,reel
1414,TCP,1755622026.98284,good,reel
1414,TCP,1755622026.98284,good,reel
54,TCP,1755622027.053312,good,reel
54,TCP,1755622027.053312,good,reel
1414,TCP,1755622027.053473,good,reel
1414,TCP,1755622027.053473,good,reel
1414,TCP,1755622027.053473,good,reel
1414,TCP,1755622027.053473,good,reel
1414,TCP,1755622027.053473,good,reel
351,TCP,1755622027.103896,good,reel
113,TCP,1755622027.10399,good,reel
1304,TCP,1755622027.104024,good,reel
1304,TCP,1755622027.104024,good,reel
1304,TCP,1755622027.104024,good,reel
1304,TCP,1755622027.104024,good,reel
1304,TCP,1755622027.104024,good,reel
1304,TCP,1755622027.104024,good,reel
1304,TCP,1755622027.104024,good,reel
1304,TCP,1755622027.104024,good,reel
235,TCP,1755622027.104024,good,reel
1414,TCP,1755622027.105939,good,reel
1414,TCP,1755622027.105939,good,reel
191,TCP,1755622027.105939,good,reel
1414,TCP,1755622027.10613,good,reel
517,TCP,1755622027.10613,good,reel
54,TCP,1755622027.129434,good,reel
1414,TCP,1755622027.129487,good,reel
54,TCP,1755622027.162858,good,reel
1414,TCP,1755622027.163071,good,reel
1414,TCP,1755622027.163071,good,reel
1414,TCP,1755622027.163071,good,reel
54,TCP,1755622027.173205,good,reel
1414,TCP,1755622027.173419,good,reel
1414,TCP,1755622027.173419,good,reel
1292,UDP,1755622027.221645,good,reel
1292,UDP,1755622027.221856,good,reel
1292,UDP,1755622027.221887,good,reel
143,UDP,1755622027.222305,good,reel
1288,UDP,1755622027.222844,good,reel
897,UDP,1755622027.2229,good,reel
54,TCP,1755622027.235714,good,reel
1414,TCP,1755622027.235783,good,reel
1414,TCP,1755622027.235783,good,reel
1414,TCP,1755622027.235783,good,reel
102,UDP,1755622027.26305,good,reel
353,UDP,1755622027.274552,good,reel
182,UDP,1755622027.29486,good,reel
1292,UDP,1755622027.310186,good,reel
54,TCP,1755622027.312197,good,reel
1292,UDP,1755622027.312214,good,reel
1414,TCP,1755622027.312341,good,reel
1292,UDP,1755622027.312345,good,reel
142,UDP,1755622027.312873,good,reel
102,UDP,1755622027.313444,good,reel
355,UDP,1755622027.313526,good,reel
1292,UDP,1755622027.353066,good,reel
1292,UDP,1755622027.353066,good,reel
54,TCP,1755622027.419719,good,reel
1414,TCP,1755622027.419766,good,reel
936,TCP,1755622027.419766,good,reel
1292,UDP,1755622027.421295,good,reel
479,UDP,1755622027.421295,good,reel
875,UDP,1755622027.421353,good,reel
273,UDP,1755622027.421353,good,reel
86,UDP,1755622027.42137,good,reel
91,UDP,1755622027.42137,good,reel
140,UDP,1755622027.421808,good,reel
93,UDP,1755622027.421878,good,reel
93,UDP,1755622027.421944,good,reel
54,TCP,1755622027.425029,good,reel
1414,TCP,1755622027.425061,good,reel
1414,TCP,1755622027.425061,good,reel
1292,UDP,1755622027.442015,good,reel
102,UDP,1755622027.444543,good,reel
1158,UDP,1755622027.445341,good,reel
290,UDP,1755622027.445341,good,reel
99,UDP,1755622027.445607,good,reel
95,UDP,1755622027.445654,good,reel
54,TCP,1755622027.461435,good,reel
1414,TCP,1755622027.461484,good,reel
1414,TCP,1755622027.461484,good,reel
1414,TCP,1755622027.461484,good,reel
1292,UDP,1755622027.479358,good,reel
182,UDP,1755622027.480285,good,reel
95,UDP,1755622027.480438,good,reel
1288,UDP,1755622027.489444,good,reel
99,UDP,1755622027.489979,good,reel
671,UDP,1755622027.493624,good,reel
1287,UDP,1755622027.493676,good,reel
95,UDP,1755622027.49382,good,reel
1292,UDP,1755622027.49667,good,reel
1292,UDP,1755622027.499529,good,reel
95,UDP,1755622027.499658,good,reel
1292,UDP,1755622027.503068,good,reel
1292,UDP,1755622027.503068,good,reel
95,UDP,1755622027.503329,good,reel
54,TCP,1755622027.506582,good,reel
1414,TCP,1755622027.506618,good,reel
1414,TCP,1755622027.506618,good,reel
1292,UDP,1755622027.507537,good,reel
1292,UDP,1755622027.510265,good,reel
95,UDP,1755622027.510586,good,reel
1292,UDP,1755622027.512989,good,reel
471,UDP,1755622027.512989,good,reel
883,UDP,1755622027.512989,good,reel
265,UDP,1755622027.513051,good,reel
86,UDP,1755622027.513051,good,reel
140,UDP,1755622027.513492,good,reel
93,UDP,1755622027.51357,good,reel
