packet_size,protocol,duration,network,label
1292,UDP,1755622390.867992,good,non-reel
1292,UDP,1755622390.868219,good,non-reel
1292,UDP,1755622390.868348,good,non-reel
98,UDP,1755622390.88318,good,non-reel
89,UDP,1755622390.885093,good,non-reel
101,UDP,1755622390.888333,good,non-reel
125,UDP,1755622390.888333,good,non-reel
85,UDP,1755622390.888333,good,non-reel
1292,UDP,1755622390.889332,good,non-reel
1292,UDP,1755622390.889391,good,non-reel
1292,UDP,1755622390.889708,good,non-reel
1292,UDP,1755622390.889708,good,non-reel
125,UDP,1755622390.891804,good,non-reel
85,UDP,1755622390.893721,good,non-reel
105,UDP,1755622390.89855,good,non-reel
96,UDP,1755622390.898748,good,non-reel
97,UDP,1755622390.903487,good,non-reel
95,UDP,1755622390.913707,good,non-reel
140,UDP,1755622390.929183,good,non-reel
85,UDP,1755622390.929183,good,non-reel
125,UDP,1755622390.933889,good,non-reel
85,UDP,1755622390.933889,good,non-reel
125,UDP,1755622390.933889,good,non-reel
85,UDP,1755622390.937107,good,non-reel
107,UDP,1755622390.937673,good,non-reel
88,UDP,1755622390.972435,good,non-reel
1288,UDP,1755622391.571002,good,non-reel
1288,UDP,1755622391.571102,good,non-reel
1177,UDP,1755622391.571119,good,non-reel
89,UDP,1755622391.651189,good,non-reel
653,UDP,1755622391.653702,good,non-reel
97,UDP,1755622391.654649,good,non-reel
86,UDP,1755622391.719808,good,non-reel
1288,UDP,1755622391.771239,good,non-reel
1292,UDP,1755622391.771239,good,non-reel
1292,UDP,1755622391.771239,good,non-reel
1292,UDP,1755622391.771239,good,non-reel
93,UDP,1755622391.771491,good,non-reel
93,UDP,1755622391.771545,good,non-reel
1285,UDP,1755622391.774814,good,non-reel
156,UDP,1755622391.77492,good,non-reel
1292,UDP,1755622391.776459,good,non-reel
1292,UDP,1755622391.776459,good,non-reel
1292,UDP,1755622391.776459,good,non-reel
1292,UDP,1755622391.776459,good,non-reel
93,UDP,1755622391.776678,good,non-reel
93,UDP,1755622391.776944,good,non-reel
1292,UDP,1755622391.792055,good,non-reel
1292,UDP,1755622391.794166,good,non-reel
1292,UDP,1755622391.794166,good,non-reel
1292,UDP,1755622391.794166,good,non-reel
1292,UDP,1755622391.794166,good,non-reel
1292,UDP,1755622391.794166,good,non-reel
1292,UDP,1755622391.794288,good,non-reel
93,UDP,1755622391.794407,good,non-reel
1292,UDP,1755622391.794737,good,non-reel
1292,UDP,1755622391.794737,good,non-reel
1292,UDP,1755622391.794737,good,non-reel
93,UDP,1755622391.794757,good,non-reel
1292,UDP,1755622391.794878,good,non-reel
93,UDP,1755622391.794906,good,non-reel
93,UDP,1755622391.794945,good,non-reel
93,UDP,1755622391.795144,good,non-reel
1292,UDP,1755622391.795203,good,non-reel
93,UDP,1755622391.795328,good,non-reel
272,UDP,1755622391.799424,good,non-reel
263,UDP,1755622391.799729,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80143,good,non-reel
1292,UDP,1755622391.80216,good,non-reel
1292,UDP,1755622391.80216,good,non-reel
93,UDP,1755622391.802801,good,non-reel
